"Year","Area","Street","Street.2"
2011,"Birmingham","Acocks Green",""
2011,"Birmingham","Adderly St",""
2011,"Birmingham","Alcester Rd  Mosley","Alcester Rd, Mosley"
2011,"Birmingham","Alcester Rd","alcester road"
2011,"Birmingham","Alcester Rd Moseley","alcester road moseley"
2011,"Birmingham","Alcester Rd Moseley",""
2011,"Birmingham","Alfred St",""
2011,"Birmingham","All Service Club  Mosley","All service club, Mosley"
2011,"Birmingham","Alum Rock Rd",""
2011,"Birmingham","Alum Rock Rd",""
2011,"Birmingham","Alum Rock Rd",""
2011,"Birmingham","Alum Rock Rd",""
2011,"Birmingham","Arcadian Centre","arcadian centre"
2011,"Birmingham","Arden Rd  Saltley","Arden Rd, Saltley"
2011,"Birmingham","Asda  Chemsley Wood","Asda, Chemsley Wood"
2011,"Birmingham","Balsahll Heath Park  J W Brighton Rd","Balsahll Heath Park, J/W Brighton road"
2011,"Birmingham","Bamford Rd",""
2011,"Birmingham","Bamford Rd",""
2011,"Birmingham","Beechbrook Ave Sparkhill","BeechBrook Ave Sparkhill"
2011,"Birmingham","Belchers Ln",""
2011,"Birmingham","Belchers Ln",""
2011,"Birmingham","Belchers Ln",""
2011,"Birmingham","Belchers Ln  Bordesley Green","Belchers Ln, Bordesley Green"
2011,"Birmingham","Bell St",""
2011,"Birmingham","Berkley Rd East    Haymills ","Berkley Rd East ,  Haymills."
2011,"Birmingham","Birmingham Airport","birmingham airport"
2011,"Birmingham","Birmingham International Railway Station","Birmingham International railway station"
2011,"Birmingham","Bordesley Green",""
2011,"Birmingham","Bordesley Green    Bordesley Green ","Bordesley Green ,  Bordesley Green."
2011,"Birmingham","Bristol Rd",""
2011,"Birmingham","Bristol St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St Birmingham",""
2011,"Birmingham","Buckland End Ln Shard End",""
2011,"Birmingham","Bulls Head Ph  St Marys Row","Bulls Head PH, St Marys Row"
2011,"Birmingham","Bushbury Rd  Kitts Green","Bushbury Rd, Kitts Green"
2011,"Birmingham","Chartice Rd",""
2011,"Birmingham","Chestnut Rd",""
2011,"Birmingham","Church Rd  Stechford","church rd, stechford"
2011,"Birmingham","Church Rd  Sheldon","Church Rd, Sheldon"
2011,"Birmingham","Clifford Rd Dorridge ","Clifford RD Dorridge."
2011,"Birmingham","Clock Ln",""
2011,"Birmingham","Colonial Rd  Bordesley Green ","Colonial road, Bordesley Green`"
2011,"Birmingham","Corporation St Birmingham","Corporation St,Birmingham"
2011,"Birmingham","Corporation St","corporation street"
2011,"Birmingham","Coventry Rd Small Heath","Coventry rd Small heath"
2011,"Birmingham","Coventry Rd  Small Heath  Bham","COVENTRY RD, SMALL HEATH, BHAM"
2011,"Birmingham","Coventry Rd",""
2011,"Birmingham","Coventry Rd",""
2011,"Birmingham","Coventry Rd",""
2011,"Birmingham","Coventry Rd",""
2011,"Birmingham","Coventry Rd",""
2011,"Birmingham","Coventry Rd  Small Heath","Coventry road, Small heath"
2011,"Birmingham","Coventry Rd  Small Heath","Coventry Rd, Small Heath"
2011,"Birmingham","Coventry Rd Small Heath","coventry road,small heath"
2011,"Birmingham","Cranes Park Rd",""
2011,"Birmingham","Cranes Park Rd Sheldon",""
2011,"Birmingham","Crossfield Rd","crossfield road"
2011,"Birmingham","Crossfields Rd Kitts Green",""
2011,"Birmingham","Cxhurch Rd  Stechford  Bham","cxhurch rd, stechford, bham"
2011,"Birmingham","Digbeth High St","digbeth high street"
2011,"Birmingham","Edgbaston Rd","Edgbaston road"
2011,"Birmingham","Edward Rd  Moseley","Edward Rd. Moseley"
2011,"Birmingham","Fighting Cox Ph","Fighting Cox PH"
2011,"Birmingham","Foremans Rd  Sparkhill","Foremans road, sparkhill"
2011,"Birmingham","Front Office  Kings Heath","front office, kings heath"
2011,"Birmingham","Garretts Green Rd  Garretts Green","Garretts Green Rd, Garretts Green"
2011,"Birmingham","Giles Close",""
2011,"Birmingham","Giles Close  Stechford","GILES CLOSE, STECHFORD"
2011,"Birmingham","Glazedale Rd","glazedale road"
2011,"Birmingham","Gospel Farm Rd",""
2011,"Birmingham","Gospel Farm Rd",""
2011,"Birmingham","Gospel Ln","gospel lane"
2011,"Birmingham","Gospel Ln","gospel lane"
2011,"Birmingham","Gospel Ln",""
2011,"Birmingham","Gospel Ln  Acocks Green","Gospel lane, acocks green"
2011,"Birmingham","Grace Church  Sutton Coldfield","Grace Church, Sutton Coldfield"
2011,"Birmingham","Great Hampton St",""
2011,"Birmingham","Green Ln",""
2011,"Birmingham","Greswell Ln Shard End","Greswell lane Shard End"
2011,"Birmingham","Harlequin Drive  Mosley","Harlequin drive, Mosley"
2011,"Birmingham","Haslucks Green Rd",""
2011,"Birmingham","Hazeldean Rd",""
2011,"Birmingham","Heartlands Hospital",""
2011,"Birmingham","Heartlands Hospital",""
2011,"Birmingham","Heartlands Hospital A   E ","Heartlands Hospital A & E."
2011,"Birmingham","Heartlands Hospital A   E ","Heartlands Hospital A & E."
2011,"Birmingham","Heartlands Hospital A   E ","heartlands hospital A & E."
2011,"Birmingham","Hepben Grove",""
2011,"Birmingham","Herrick Rd",""
2011,"Birmingham","Herrick Rd  Washwood Heath","Herrick Rd, Washwood Heath"
2011,"Birmingham","Herrick Rd  Washwood Heath","Herrick Rd, Washwood Heath"
2011,"Birmingham","High St Solihull",""
2011,"Birmingham","High St Kings Heath","HIGH STREET KINGS HEATH"
2011,"Birmingham","High St Kings Heath",""
2011,"Birmingham","High St  Kings Heath","high street, kings heath"
2011,"Birmingham","Hob Moor Rd At Starbank Rd","Hob Moor Rd at Starbank Rd"
2011,"Birmingham","Holloway Head Bham City Centre","Holloway head Bham City centre"
2011,"Birmingham","Hollywell Rd",""
2011,"Birmingham","Home Address","home address"
2011,"Birmingham","Home Address",""
2011,"Birmingham","Homer St","Homer street"
2011,"Birmingham","Hunters Moon Public House ","Hunters Moon Public house."
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St  Birmingham","Hurst St, Birmingham"
2011,"Birmingham","Kings Heath High St",""
2011,"Birmingham","Knowle Rd  Small Heath  Bham","KNOWLE RD, SMALL HEATH, BHAM"
2011,"Birmingham","Ladypool Rd","ladypool Rd"
2011,"Birmingham","Ladypool Rd","ladypool Rd"
2011,"Birmingham","Ladywell Walk",""
2011,"Birmingham","Lea Hall Rd","Lea Hall RD"
2011,"Birmingham","Lea Hall Rd","Lea Hall rd"
2011,"Birmingham","Lea Vlg  Stechford","Lea Vlg, Stechford"
