"Year","Area","Street","Street.2","Strange.HTML"
2011,"Birmingham","Acocks Green","Acocks Green","One amp Two"
2011,"","Adderly St","Adderly St","Some ndash ndash"
2011,"","Alcester Rd  Mosley","Alcester Rd, Mosley","euro300"
2011,"","Alcester Rd","alcester road","alcesternbsproad"
2011,"","Alcester Rd Moseley","alcester road moseley","quotThat silly manquot"
2011,"","Alcester Rd Moseley","Alcester Rd Moseley","lthtmlgt"
2011,"","Alfred St","Alfred St","One amp Two"
2011,"","All Service Club  Mosley","All service club, Mosley","Some ndash ndash"
2011,"","Alum Rock Rd","Alum Rock Rd","euro300"
2011,"","Alum Rock Rd","Alum Rock Rd","alcesternbsproad"
2011,"","Alum Rock Rd","Alum Rock Rd","quotThat silly manquot"
2011,"","Alum Rock Rd","Alum Rock Rd","lthtmlgt"
2011,"","Arcadian Centre","arcadian centre","One amp Two"
2011,"","Arden Rd  Saltley","Arden Rd, Saltley","Some ndash ndash"
2011,"","Asda  Chemsley Wood","Asda, Chemsley Wood","euro300"
2011,"","Balsahll Heath Park  J W Brighton Rd","Balsahll Heath Park, J/W Brighton road","alcesternbsproad"
2011,"","Bamford Rd","Bamford Rd","quotThat silly manquot"
2011,"","Bamford Rd","Bamford Rd","lthtmlgt"
2011,"","Beechbrook Ave Sparkhill","BeechBrook Ave Sparkhill","One amp Two"
2011,"","Belchers Ln","Belchers Ln","Some ndash ndash"
2011,"","Belchers Ln","Belchers Ln","euro300"
2011,"","Belchers Ln","Belchers Ln","alcesternbsproad"
2011,"","Belchers Ln  Bordesley Green","Belchers Ln, Bordesley Green","quotThat silly manquot"
2011,"","Bell St","Bell St","lthtmlgt"
2011,"","Berkley Rd East    Haymills ","Berkley Rd East ,  Haymills.","One amp Two"
2011,"","Birmingham Airport","birmingham airport","Some ndash ndash"
2011,"","Birmingham International Railway Station","Birmingham International railway station","euro300"
2011,"","Bordesley Green","Bordesley Green","alcesternbsproad"
2011,"","Bordesley Green    Bordesley Green ","Bordesley Green ,  Bordesley Green.","quotThat silly manquot"
2011,"","Bristol Rd","Bristol Rd","lthtmlgt"
2011,"","Bristol St","Bristol St","One amp Two"
2011,"","Broad St","Broad St","Some ndash ndash"
2011,"","Broad St","Broad St","euro300"
2011,"","Broad St Birmingham","Broad St Birmingham","alcesternbsproad"
2011,"","Buckland End Ln Shard End","Buckland End Ln Shard End","quotThat silly manquot"
2011,"","Bulls Head Ph  St Marys Row","Bulls Head PH, St Marys Row","lthtmlgt"
2011,"","Bushbury Rd  Kitts Green","Bushbury Rd, Kitts Green",""
2011,"","Chartice Rd","Chartice Rd",""
2011,"","Chestnut Rd","Chestnut Rd",""
2011,"","Church Rd  Stechford","church rd, stechford",""
2011,"","Church Rd  Sheldon","Church Rd, Sheldon",""
2011,"","Clifford Rd Dorridge ","Clifford RD Dorridge.",""
2011,"","Clock Ln","Clock Ln",""
2011,"","Colonial Rd  Bordesley Green ","Colonial road, Bordesley Green`",""
2011,"","Corporation St Birmingham","Corporation St,Birmingham",""
2011,"","Corporation St","corporation street",""
2011,"","Coventry Rd Small Heath","Coventry rd Small heath",""
2011,"","Coventry Rd  Small Heath  Bham","COVENTRY RD, SMALL HEATH, BHAM",""
2011,"","Coventry Rd","Coventry Rd",""
2011,"","Coventry Rd","Coventry Rd",""
2011,"","Coventry Rd","Coventry Rd",""
2011,"","Coventry Rd","Coventry Rd",""
2011,"","Coventry Rd","Coventry Rd",""
2011,"","Coventry Rd  Small Heath","Coventry road, Small heath",""
2011,"","Coventry Rd  Small Heath","Coventry Rd, Small Heath",""
2011,"","Coventry Rd Small Heath","coventry road,small heath",""
2011,"","Cranes Park Rd","Cranes Park Rd",""
2011,"","Cranes Park Rd Sheldon","Cranes Park Rd Sheldon",""
2011,"","Crossfield Rd","crossfield road",""
2011,"","Crossfields Rd Kitts Green","Crossfields Rd Kitts Green",""
2011,"","Cxhurch Rd  Stechford  Bham","cxhurch rd, stechford, bham",""
2011,"","Digbeth High St","digbeth high street",""
2011,"","Edgbaston Rd","Edgbaston road",""
2011,"","Edward Rd  Moseley","Edward Rd. Moseley",""
2011,"","Fighting Cox Ph","Fighting Cox PH",""
2011,"","Foremans Rd  Sparkhill","Foremans road, sparkhill",""
2011,"","Front Office  Kings Heath","front office, kings heath",""
2011,"","Garretts Green Rd  Garretts Green","Garretts Green Rd, Garretts Green",""
2011,"","Giles Close","Giles Close",""
2011,"","Giles Close  Stechford","GILES CLOSE, STECHFORD",""
2011,"","Glazedale Rd","glazedale road",""
2011,"","Gospel Farm Rd","Gospel Farm Rd",""
2011,"","Gospel Farm Rd","Gospel Farm Rd",""
2011,"","Gospel Ln","gospel lane",""
2011,"","Gospel Ln","gospel lane",""
2011,"","Gospel Ln","Gospel Ln",""
2011,"","Gospel Ln  Acocks Green","Gospel lane, acocks green",""
2011,"","Grace Church  Sutton Coldfield","Grace Church, Sutton Coldfield",""
2011,"","Great Hampton St","Great Hampton St",""
2011,"","Green Ln","Green Ln",""
2011,"","Greswell Ln Shard End","Greswell lane Shard End",""
2011,"","Harlequin Drive  Mosley","Harlequin drive, Mosley",""
2011,"","Haslucks Green Rd","Haslucks Green Rd",""
2011,"","Hazeldean Rd","Hazeldean Rd",""
2011,"","Heartlands Hospital","Heartlands Hospital",""
2011,"","Heartlands Hospital","Heartlands Hospital",""
2011,"","Heartlands Hospital A   E ","Heartlands Hospital A & E.",""
2011,"","Heartlands Hospital A   E ","Heartlands Hospital A & E.",""
2011,"","Heartlands Hospital A   E ","heartlands hospital A & E.",""
2011,"","Hepben Grove","Hepben Grove",""
2011,"","Herrick Rd","Herrick Rd",""
2011,"","Herrick Rd  Washwood Heath","Herrick Rd, Washwood Heath",""
2011,"","Herrick Rd  Washwood Heath","Herrick Rd, Washwood Heath",""
2011,"","High St Solihull","High St Solihull",""
2011,"","High St Kings Heath","HIGH STREET KINGS HEATH",""
2011,"","High St Kings Heath","High St Kings Heath",""
2011,"","High St  Kings Heath","high street, kings heath",""
