"","Year","Area","Street","Street.2"
"1",2011,"Birmingham","Acocks Green","Acocks Green"
"2",2011,"","Adderly St","Adderly St"
"3",2011,"","Alcester Rd  Mosley","Alcester Rd, Mosley"
"4",2011,"","Alcester Rd","alcester road"
"5",2011,"","Alcester Rd Moseley","alcester road moseley"
"6",2011,"","Alcester Rd Moseley","Alcester Rd Moseley"
"7",2011,"","Alfred St","Alfred St"
"8",2011,"","All Service Club  Mosley","All service club, Mosley"
"9",2011,"","Alum Rock Rd","Alum Rock Rd"
"10",2011,"","Alum Rock Rd","Alum Rock Rd"
"11",2011,"","Alum Rock Rd","Alum Rock Rd"
"12",2011,"","Alum Rock Rd","Alum Rock Rd"
"13",2011,"","Arcadian Centre","arcadian centre"
"14",2011,"","Arden Rd  Saltley","Arden Rd, Saltley"
"15",2011,"","Asda  Chemsley Wood","Asda, Chemsley Wood"
"16",2011,"","Balsahll Heath Park  J W Brighton Rd","Balsahll Heath Park, J/W Brighton road"
"17",2011,"","Bamford Rd","Bamford Rd"
"18",2011,"","Bamford Rd","Bamford Rd"
"19",2011,"","Beechbrook Ave Sparkhill","BeechBrook Ave Sparkhill"
"20",2011,"","Belchers Ln","Belchers Ln"
"21",2011,"","Belchers Ln","Belchers Ln"
"22",2011,"","Belchers Ln","Belchers Ln"
"23",2011,"","Belchers Ln  Bordesley Green","Belchers Ln, Bordesley Green"
"24",2011,"","Bell St","Bell St"
"25",2011,"","Berkley Rd East    Haymills ","Berkley Rd East ,  Haymills."
"26",2011,"","Birmingham Airport","birmingham airport"
"27",2011,"","Birmingham International Railway Station","Birmingham International railway station"
"28",2011,"","Bordesley Green","Bordesley Green"
"29",2011,"","Bordesley Green    Bordesley Green ","Bordesley Green ,  Bordesley Green."
"30",2011,"","Bristol Rd","Bristol Rd"
"31",2011,"","Bristol St","Bristol St"
"32",2011,"","Broad St","Broad St"
"33",2011,"","Broad St","Broad St"
"34",2011,"","Broad St Birmingham","Broad St Birmingham"
"35",2011,"","Buckland End Ln Shard End","Buckland End Ln Shard End"
"36",2011,"","Bulls Head Ph  St Marys Row","Bulls Head PH, St Marys Row"
"37",2011,"","Bushbury Rd  Kitts Green","Bushbury Rd, Kitts Green"
"38",2011,"","Chartice Rd","Chartice Rd"
"39",2011,"","Chestnut Rd","Chestnut Rd"
"40",2011,"","Church Rd  Stechford","church rd, stechford"
"41",2011,"","Church Rd  Sheldon","Church Rd, Sheldon"
"42",2011,"","Clifford Rd Dorridge ","Clifford RD Dorridge."
"43",2011,"","Clock Ln","Clock Ln"
"44",2011,"","Colonial Rd  Bordesley Green ","Colonial road, Bordesley Green`"
"45",2011,"","Corporation St Birmingham","Corporation St,Birmingham"
"46",2011,"","Corporation St","corporation street"
"47",2011,"","Coventry Rd Small Heath","Coventry rd Small heath"
"48",2011,"","Coventry Rd  Small Heath  Bham","COVENTRY RD, SMALL HEATH, BHAM"
"49",2011,"","Coventry Rd","Coventry Rd"
"50",2011,"","Coventry Rd","Coventry Rd"
"51",2011,"","Coventry Rd","Coventry Rd"
"52",2011,"","Coventry Rd","Coventry Rd"
"53",2011,"","Coventry Rd","Coventry Rd"
"54",2011,"","Coventry Rd  Small Heath","Coventry road, Small heath"
"55",2011,"","Coventry Rd  Small Heath","Coventry Rd, Small Heath"
"56",2011,"","Coventry Rd Small Heath","coventry road,small heath"
"57",2011,"","Cranes Park Rd","Cranes Park Rd"
"58",2011,"","Cranes Park Rd Sheldon","Cranes Park Rd Sheldon"
"59",2011,"","Crossfield Rd","crossfield road"
"60",2011,"","Crossfields Rd Kitts Green","Crossfields Rd Kitts Green"
"61",2011,"","Cxhurch Rd  Stechford  Bham","cxhurch rd, stechford, bham"
"62",2011,"","Digbeth High St","digbeth high street"
"63",2011,"","Edgbaston Rd","Edgbaston road"
"64",2011,"","Edward Rd  Moseley","Edward Rd. Moseley"
"65",2011,"","Fighting Cox Ph","Fighting Cox PH"
"66",2011,"","Foremans Rd  Sparkhill","Foremans road, sparkhill"
"67",2011,"","Front Office  Kings Heath","front office, kings heath"
"68",2011,"","Garretts Green Rd  Garretts Green","Garretts Green Rd, Garretts Green"
"69",2011,"","Giles Close","Giles Close"
"70",2011,"","Giles Close  Stechford","GILES CLOSE, STECHFORD"
"71",2011,"","Glazedale Rd","glazedale road"
"72",2011,"","Gospel Farm Rd","Gospel Farm Rd"
"73",2011,"","Gospel Farm Rd","Gospel Farm Rd"
"74",2011,"","Gospel Ln","gospel lane"
"75",2011,"","Gospel Ln","gospel lane"
"76",2011,"","Gospel Ln","Gospel Ln"
"77",2011,"","Gospel Ln  Acocks Green","Gospel lane, acocks green"
"78",2011,"","Grace Church  Sutton Coldfield","Grace Church, Sutton Coldfield"
"79",2011,"","Great Hampton St","Great Hampton St"
"80",2011,"","Green Ln","Green Ln"
"81",2011,"","Greswell Ln Shard End","Greswell lane Shard End"
"82",2011,"","Harlequin Drive  Mosley","Harlequin drive, Mosley"
"83",2011,"","Haslucks Green Rd","Haslucks Green Rd"
"84",2011,"","Hazeldean Rd","Hazeldean Rd"
"85",2011,"","Heartlands Hospital","Heartlands Hospital"
"86",2011,"","Heartlands Hospital","Heartlands Hospital"
"87",2011,"","Heartlands Hospital A   E ","Heartlands Hospital A & E."
"88",2011,"","Heartlands Hospital A   E ","Heartlands Hospital A & E."
"89",2011,"","Heartlands Hospital A   E ","heartlands hospital A & E."
"90",2011,"","Hepben Grove","Hepben Grove"
"91",2011,"","Herrick Rd","Herrick Rd"
"92",2011,"","Herrick Rd  Washwood Heath","Herrick Rd, Washwood Heath"
"93",2011,"","Herrick Rd  Washwood Heath","Herrick Rd, Washwood Heath"
"94",2011,"","High St Solihull","High St Solihull"
"95",2011,"","High St Kings Heath","HIGH STREET KINGS HEATH"
"96",2011,"","High St Kings Heath","High St Kings Heath"
"97",2011,"","High St  Kings Heath","high street, kings heath"
"98",2011,"","Hob Moor Rd At Starbank Rd","Hob Moor Rd at Starbank Rd"
"99",2011,"","Holloway Head Bham City Centre","Holloway head Bham City centre"
"100",2011,"","Hollywell Rd","Hollywell Rd"
"101",2011,"","Home Address","home address"
"102",2011,"","Home Address","Home Address"
"103",2011,"","Homer St","Homer street"
"104",2011,"","Hunters Moon Public House ","Hunters Moon Public house."
"105",2011,"","Hurst St","Hurst St"
"106",2011,"","Hurst St","Hurst St"
"107",2011,"","Hurst St","Hurst St"
"108",2011,"","Hurst St  Birmingham","Hurst St, Birmingham"
"109",2011,"","Kings Heath High St","Kings Heath High St"
"110",2011,"","Knowle Rd  Small Heath  Bham","KNOWLE RD, SMALL HEATH, BHAM"
"111",2011,"","Ladypool Rd","ladypool Rd"
"112",2011,"","Ladypool Rd","ladypool Rd"
"113",2011,"","Ladywell Walk","Ladywell Walk"
"114",2011,"","Lea Hall Rd","Lea Hall RD"
"115",2011,"","Lea Hall Rd","Lea Hall rd"
"116",2011,"","Lea Vlg  Stechford","Lea Vlg, Stechford"
"117",2011,"","Lenches Close  Mosley","Lenches Close, Mosley"
"118",2011,"","Lime Tree Rd","Lime Tree Rd"
"119",2011,"","Lode Ln   Hermitage Rd","Lode Ln @ Hermitage Rd"
"120",2011,"","Long St","Long street"
"121",2011,"","Long St  Sparkhill","Long St. Sparkhill"
"122",2011,"","Longbridge Ln","Longbridge Ln"
"123",2011,"","Longmeadow Crescent Shard End   Bham","LONGMEADOW CRESCENT SHARD END , BHAM"
"124",2011,"","Maccadown Ln","Maccadown Ln"
"125",2011,"","Masshouse Ln","masshouse lane"
"126",2011,"","Meadwaym Stechford","Meadwaym Stechford"
"127",2011,"","Mickleover Rd  Bromford","Mickleover Rd, Bromford"
"128",2011,"","Moorcroft Rd","moorcroft road"
"129",2011,"","Moseley Rd","Moseley Rd"
"130",2011,"","Moseley Rd","moseley road"
"131",2011,"","Moseley Rd","moseley road"
"132",2011,"","Moseley Rd","moseley road"
"133",2011,"","Moseley Vlg","Moseley Vlg"
"134",2011,"","Moseley Vlg","Moseley Vlg"
"135",2011,"","Moseley Vlg  Alcester Rd","Moseley Vlg, Alcester road"
"136",2011,"","Mosley All Services Club  Church Rd  Moseley ","Mosley All Services Club, Church Rd, Moseley."
"137",2011,"","Nearlands Close Quinton","Nearlands Close Quinton"
"138",2011,"","New St","new street"
"139",2011,"","Northfield High St","Northfield High St"
"140",2011,"","O S Behans  Highfield Rd  Billesley","O/S BEHANS, HIGHFIELD ROAD, BILLESLEY"
"141",2011,"","O S The Junction  Mosley Vlg","O/S The junction, Mosley Vlg"
"142",2011,"","O S Washwood Heath Rd","O/S Washwood Heath road"
"143",2011,"","Oakhill Rd  Acocks Green","Oakhill Rd, Acocks Green"
"144",2011,"","Opp White Hart Ln Cooks Ln","Opp white hart lane cooks lane"
"145",2011,"","Opposite  Aldi  Stratford Rd","Opposite, ALDI, Stratford Rd"
"146",2011,"","Outside Java Lounge Alcester Rd","Outside Java lounge Alcester Rd"
"147",2011,"","Outside O2 Academy Night Club B Ham City Centre","Outside O2 Academy Night Club B'ham City Centre"
"148",2011,"","Outside Raven Public House","outside raven public house"
"149",2011,"","Packington Ave  Shard End","Packington Ave, Shard End"
"150",2011,"","Park Off Hob Moor Rd","park off hob moor road"
"151",2011,"","Parkhall Croft","Parkhall Croft"
"152",2011,"","Pear Tree Ph","Pear Tree PH"
"153",2011,"","Police Station","Police station"
"154",2011,"","Police Station Stechford","Police Station Stechford"
"155",2011,"","Poplar Rd","poplar road"
"156",2011,"","Poplar Rd","Poplar road"
"157",2011,"","Poplar Rd   Solihull","poplar road , solihull"
"158",2011,"","Poplar Rd  Solihull","poplar road, solihull"
"159",2011,"","Preston Rd","Preston Rd"
"160",2011,"","Priory Rd  Hall Green","Priory Rd, Hall Green"
"161",2011,"","Prospect Rd","prospect road"
"162",2011,"","Queenswood Rd","queenswood road"
"163",2011,"","Rear Of Boots  High St","rear of boots, high street"
"164",2011,"","Reddings Ln  Tsyley","REDDINGS LANE, TSYLEY"
"165",2011,"","Richmond Primary Care Centre  Richmond Rd  Stechford","Richmond Primary Care Centre, Richmond Rd, Stechford"
"166",2011,"","Ring Rd  Stourbridge","ring road, stourbridge"
"167",2011,"","Sainsburys  Wawrick Rd","sainsburys, wawrick road"
"168",2011,"","Sainsburys  Alcester Rd South","sainsburys. alcester road south"
"169",2011,"","Sandford Rd Moseley","Sandford Rd Moseley"
"170",2011,"","Sarehole Mill","Sarehole Mill"
"171",2011,"","Sedgemere Rd","Sedgemere Rd"
"172",2011,"","Shirley Rd","Shirley Rd"
"173",2011,"","Shirley Rd","SHirley Rd"
"174",2011,"","Snow Hill","Snow Hill"
"175",2011,"","Solihull Ln","Solihull Ln"
"176",2011,"","St Mary S Rd  Moseley","St Mary's Rd, Moseley"
"177",2011,"","St Marys Row","St Marys Row"
"178",2011,"","Station Rd","station road"
"179",2011,"","Station Way  Birmingham International Rail Station","Station Way, Birmingham International rail Station"
"180",2011,"","Stechford Front Office","Stechford front office"
"181",2011,"","Stechford P S ","Stechford P.S."
"182",2011,"","Stechford Retail Park ","Stechford Retail Park."
"183",2011,"","Stonehenge Croft Druids Heath","Stonehenge croft Druids heath"
"184",2011,"","Stoney Ln","Stoney Ln"
"185",2011,"","Stoney Ln","Stoney Ln"
"186",2011,"","Stoney Ln","stoney lane"
"187",2011,"","Stratford Heath  Spark Hill  Birmingham","STRATFORD HEATH, SPARK HILL, BIRMINGHAM"
"188",2011,"","Stratford Rd","stratford road"
"189",2011,"","Stratford Rd","Stratford road"
"190",2011,"","Stratford Rd","Stratford Rd"
"191",2011,"","Stratford Rd  Hall Green","stratford road, hall green"
"192",2011,"","Stratford Rds","stratford roads"
"193",2011,"","Stuart Rd  Stechford","Stuart Rd, Stechford"
"194",2011,"","Talbort St","talbort street"
"195",2011,"","Taunton Rd","Taunton Rd"
"196",2011,"","Tavistock Rd","Tavistock road"
"197",2011,"","The Ave","The avenue"
"198",2011,"","The Paer Tree Pub","The paer tree pub"
"199",2011,"","Trafalger Rd","Trafalger Rd"
"200",2011,"","Wake Green Rd","Wake green Rd"
"201",2011,"","Ward End Rd","Ward End Rd"
"202",2011,"","Warwick Rd","Warwick Rd"
"203",2011,"","Warwick Rd","Warwick Rd"
"204",2011,"","Warwick Rd","Warwick Rd"
"205",2011,"","Warwick Rd","Warwick Rd"
"206",2011,"","Warwick Rd","Warwick Rd"
"207",2011,"","Warwick Rd Tysley","Warwick Rd Tysley"
"208",2011,"","Wash Ln","Wash lane"
"209",2011,"","Washford Heath Rd","Washford Heath Rd"
"210",2011,"","Washwood Heath Pub","Washwood Heath pub"
"211",2011,"","Washwood Heath Rd  Washwood Heath  Bham","WASHWOOD HEATH RD, WASHWOOD HEATH, BHAM"
"212",2011,"","Washwood Heath Rd","Washwood Heath road"
"213",2011,"","Washwood Heath Rd","Washwood Heath Rd"
"214",2011,"","Washwood Heath Rd","Washwood Heath Rd"
"215",2011,"","Washwood Heath Rd","Washwood Heath Rd"
"216",2011,"","Watery Ln Middleway  Birmingham","Watery Ln Middleway, Birmingham"
"217",2011,"","Wawrick Rd","wawrick road"
"218",2011,"","Welshfarm Rd  Quinton","Welshfarm Rd, Quinton"
"219",2011,"","Westley Rd","Westley Rd"
"220",2011,"","Westley Rd  Acocks Green","Westley Rd, Acocks Green"
"221",2011,"","White Hart Public House","White Hart Public House"
"222",2011,"","White Hart Public House","White Hart Public House"
"223",2011,"","Whiteheart Pub  Gressell Ln","Whiteheart pub, Gressell Ln"
"224",2011,"","William Hill Bookmakers  Washwood Heath Rd","William Hill Bookmakers, Washwood Heath Rd"
