Year,Area,Street,Street 2,Strange HTML
2011,Birmingham,Acocks̴Green,Acocks Green,One &amp; Two
2011,,Adderly̴Street,Adderly Street,Some &ndash; ndash
2011,," Alcester̴Raod,̴Mosley"," Alcester Raod, Mosley",&euro;300
2011,,alcester̴road,alcester road,alcester&nbsp;road
2011,,alcester̴road̴moseley,alcester road moseley,&quot;That silly man&quot;
2011,,Alcester̴Road̴Moseley,Alcester Road Moseley,&lt;html&gt;
2011,,Alfred̴Street,Alfred Street,One &amp; Two
2011,," All̴service̴club,̴Mosley"," All service club, Mosley",Some &ndash; ndash
2011,,Alum̴Rock̴Road,Alum Rock Road,&euro;300
2011,,Alum̴Rock̴Road,Alum Rock Road,alcester&nbsp;road
2011,,Alum̴Rock̴Road,Alum Rock Road,&quot;That silly man&quot;
2011,,Alum̴Rock̴Road,Alum Rock Road,&lt;html&gt;
2011,,arcadian̴centre,arcadian centre,One &amp; Two
2011,," Arden̴Road,̴Saltley"," Arden Road, Saltley",Some &ndash; ndash
2011,," Asda,̴Chemsley̴Wood"," Asda, Chemsley Wood",&euro;300
2011,," Balsahll̴Heath̴Park,̴J/W̴Brighton̴road"," Balsahll Heath Park, J/W Brighton road",alcester&nbsp;road
2011,,Bamford̴Road,Bamford Road,&quot;That silly man&quot;
2011,,Bamford̴Road,Bamford Road,&lt;html&gt;
2011,,BeechBrook̴Avenue̴Sparkhill,BeechBrook Avenue Sparkhill,One &amp; Two
2011,,Belchers̴Lane,Belchers Lane,Some &ndash; ndash
2011,,Belchers̴Lane,Belchers Lane,&euro;300
2011,,Belchers̴Lane,Belchers Lane,alcester&nbsp;road
2011,," Belchers̴Lane,̴Bordesley̴Green"," Belchers Lane, Bordesley Green",&quot;That silly man&quot;
2011,,Bell̴Street,Bell Street,&lt;html&gt;
2011,," Berkley̴Rd̴East̴,̴̴Haymills."," Berkley Rd East ,  Haymills.",One &amp; Two
2011,,birmingham̴airport,birmingham airport,Some &ndash; ndash
2011,,Birmingham̴International̴railway̴station,Birmingham International railway station,&euro;300
2011,,Bordesley̴Green,Bordesley Green,alcester&nbsp;road
2011,," Bordesley̴Green̴,̴̴Bordesley̴Green."," Bordesley Green ,  Bordesley Green.",&quot;That silly man&quot;
2011,,Bristol̴Road,Bristol Road,&lt;html&gt;
2011,,Bristol̴Street,Bristol Street,One &amp; Two
