Year,Area,Street,Street 2,Strange HTML
2011,Birmingham,Acocksí«Green,Acocks Green,One &amp; Two
2011,Birmingham,Adderlyí«Street,Adderly Street,Some &ndash; ndash
2011,Birmingham," Alcesterí«Raod,í«Mosley"," Alcester Raod, Mosley",&euro;300
2011,Birmingham,alcesterí«road,alcester road,alcester&nbsp;road
2011,Birmingham,alcesterí«roadí«moseley,alcester road moseley,&quot;That silly man&quot;
2011,Birmingham,Alcesterí«Roadí«Moseley,Alcester Road Moseley,&lt;html&gt;
2011,Birmingham,Alfredí«Street,Alfred Street,One &amp; Two
2011,Birmingham," Allí«serviceí«club,í«Mosley"," All service club, Mosley",Some &ndash; ndash
2011,Birmingham,Alumí«Rockí«Road,Alum Rock Road,&euro;300
2011,Birmingham,Alumí«Rockí«Road,Alum Rock Road,alcester&nbsp;road
2011,Birmingham,Alumí«Rockí«Road,Alum Rock Road,&quot;That silly man&quot;
2011,Birmingham,Alumí«Rockí«Road,Alum Rock Road,&lt;html&gt;
2011,Birmingham,arcadianí«centre,arcadian centre,One &amp; Two
2011,Birmingham," Ardení«Road,í«Saltley"," Arden Road, Saltley",Some &ndash; ndash
2011,Birmingham," Asda,í«Chemsleyí«Wood"," Asda, Chemsley Wood",&euro;300
2011,Birmingham," Balsahllí«Heathí«Park,í«J/Wí«Brightoní«road"," Balsahll Heath Park, J/W Brighton road",alcester&nbsp;road
2011,Birmingham,Bamfordí«Road,Bamford Road,&quot;That silly man&quot;
2011,Birmingham,Bamfordí«Road,Bamford Road,&lt;html&gt;
2011,Birmingham,BeechBrookí«Avenueí«Sparkhill,BeechBrook Avenue Sparkhill,One &amp; Two
2011,Birmingham,Belchersí«Lane,Belchers Lane,Some &ndash; ndash
2011,Birmingham,Belchersí«Lane,Belchers Lane,&euro;300
2011,Birmingham,Belchersí«Lane,Belchers Lane,alcester&nbsp;road
2011,Birmingham," Belchersí«Lane,í«Bordesleyí«Green"," Belchers Lane, Bordesley Green",&quot;That silly man&quot;
2011,Birmingham,Bellí«Street,Bell Street,&lt;html&gt;
2011,Birmingham," Berkleyí«Rdí«Eastí«,í«í«Haymills."," Berkley Rd East ,  Haymills.",One &amp; Two
2011,Birmingham,birminghamí«airport,birmingham airport,Some &ndash; ndash
